restaurant_name,location,cuisine,cost_for_two,rating
Sukh Sagar,Koramangala 5th Block,"South Indian, North Indian, Chinese, Street Food",,
Birinz,HSR,"Biryani, Kebab, Fast Food",,
Kabab Ghar,BTM,"Biryani, North Indian, Kebab",,
Shudh Desi Khana,Koramangala 1st Block,"North Indian, Chinese",,
Sulemani Chichas,Koramangala 5th Block,"Biryani, Hyderabadi, Kebab",,
Namma Biriyani,Koramangala 5th Block,"Biryani, Chinese, North Indian",,
Ice Cafe & Lassi Shop,BTM,"Beverages, Juices",,
The Cake Lair,BTM,"Bakery, Fast Food, Beverages",,
Shanthi Sagar,Koramangala 6th Block,South Indian,,
Maa Durga Fast Food,Koramangala 8th Block,"North Indian, Fast Food",,
Foody's Lane,Koramangala 4th Block,"North Indian, Chinese",,
Spicy Kitchen,HSR,"Andhra, North Indian",,
Xpress Dhaba,Koramangala 1st Block,North Indian,,
Oliver Wraps,HSR,"Rolls, Fast Food",,
Maa Bhook Lagi,Koramangala 4th Block,North Indian,,
30 Square,Koramangala 5th Block,"Tibetan, Nepalese, Momos",,
Fillers,BTM,"North Indian, Fast Food",,
Punjabites,BTM,"North Indian, Charcoal Chicken",,
Cream Chemistry,Koramangala 5th Block,"Ice Cream, Desserts",,
Little Kitchen,Koramangala 1st Block,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",,
Knight Ryders,BTM,"North Indian, Chinese",,
Hotel Dine City,HSR,"North Indian, South Indian, Chinese, Arabian",,
Falooda Cafe,BTM,"Beverages, Desserts",,
Pulp Juice Bar,HSR,"Beverages, Juices, Ice Cream",,
Paratha Darbar,Koramangala 1st Block,North Indian,,
Chef Baker's,HSR,"Continental, Cafe, Desserts, Italian, Bakery",,
Kaati Zone,Koramangala 6th Block,"Fast Food, Biryani, Rolls",,
Just Shawarma,Koramangala 5th Block,Arabian,,
Village Donne Biryani,Koramangala 5th Block,Biryani,,
MRA,HSR,Bakery,,
Swathi Restaurant,HSR,"Andhra, North Indian, Chinese",,
C Kosila Kitchen,Ejipura,North Indian,,
Coffee Tea & More,Koramangala 5th Block,"Beverages, Sandwich",,
Ibaco,HSR,Desserts,,
Momo Time,HSR,"Momos, Chinese",,
House Stark Cafe,HSR,"Cafe, Desserts, Fast Food, Burger",,
Dosalicious,Koramangala 6th Block,South Indian,,
Bawarchi Biryani,Koramangala 6th Block,"Biryani, South Indian",,
Meghana Foods,Koramangala 5th Block,"Biryani, Seafood, Andhra, North Indian",,
Terra Bites,Koramangala 4th Block,"Cafe, Italian, Continental",,
White Elefan Coffee and Snack Bar,Koramangala 6th Block,"Coffee, Fast Food, Chinese, Beverages",,
The Tandoori Chai,HSR,"North Indian, Fast Food, Street Food, Beverages",,
Mangala's Tea Time Cafe,Koramangala 1st Block,"Tea, Fast Food",,
Tea Trails,HSR,"North Indian, Tea, Fast Food",,
Grand Gowdru Hotel,Koramangala 6th Block,"South Indian, North Indian, Chinese",,
High n Hungry,BTM,"North Indian, South Indian, Chinese, Fast Food",,
Caffe Pascucci,HSR,"Cafe, Continental, Pizza, Italian, Beverages",,
Yummy Biryani,Koramangala 7th Block,Biryani,,
Karachi Bakery,Koramangala 5th Block,"Bakery, Desserts",,
Bonum cibum,HSR,"Lebanese, Turkish",,
Zero Mile Punjab,HSR,"North Indian, Mughlai",,
Tandoor Merchant,BTM,"North Indian, Chinese, Fast Food",,
Paratha Plaza,BTM,"North Indian, Chinese",,
Sri Ganesh Fruit Juice Centre,Koramangala 6th Block,"Juices, Beverages",,
Anika's India Kitchen,HSR,"Biryani, North Indian",,
Gulp The Pulp,Koramangala 4th Block,"Beverages, Juices, Healthy Food",,
Golden Restaurant,HSR,"North Indian, Mughlai",,
Parisar Veg Restaurant,Bommanahalli,"Chinese, North Indian, South Indian",,
Lassi Magic,HSR,"Beverages, Ice Cream",,
Kwality Cakes N Bakes,HSR,"Bakery, Desserts",,
Night Biryani,BTM,"Biryani, North Indian",,
Sree Krishna Kafe,Koramangala 5th Block,South Indian,,
Shree Khana Khazana,HSR,"North Indian, Chinese",,
Tanu Di's Kitchen,Koramangala 1st Block,"North Indian, South Indian, Bengali",,
Kabab Magic,Jayanagar,"North Indian, Kebab, Fast Food",,
Kaaram,Koramangala 6th Block,"Andhra, Biryani",,
Jose's Mess,BTM,"Kerala, South Indian, Biryani",,
Juice 99,BTM,Beverages,,
Ammus Hot N Cool,BTM,"North Indian, Chinese",,
Cane Crussh,BTM,Juices,,
Cakes & Candles,Koramangala 5th Block,"Bakery, Desserts",,
Reddy's Restaurant,HSR,"Andhra, Biryani, South Indian, Chinese",,
New Gongura Grand,HSR,"Andhra, Biryani, North Indian, Chinese",,
Kadal Da Meen,HSR,"Biryani, Seafood",,
Andhra Bhojanam,BTM,"Andhra, Biryani, North Indian",,
Smoothie Hub,BTM,"Beverages, Sandwich",,
99 Variety Dosa and Pav Bhaji,HSR,"South Indian, North Indian, Street Food",,
Popsies,Koramangala 5th Block,"Chinese, Momos",,
Just Bake,Koramangala 5th Block,"Bakery, Desserts",,
Baskin Robbins,HSR,"Ice Cream, Desserts",,
Shree Saraswathi Sweets Centre,Koramangala 1st Block,"Mithai, Street Food",,
Malabar Mandra,Koramangala 1st Block,"Kerala, Chinese",,
Raj Rasoi,Ejipura,"North Indian, Chinese",,
OMG Biriyani,BTM,"Biryani, Andhra, Chinese",,
Karama Restaurant,BTM,Arabian,,
Mayur,Hosur Road,"North Indian, South Indian, Chinese",,
Begin with us....Tea Time Cafe,Koramangala 7th Block,"Beverages, Tea",,
Third Wave Coffee Roasters,HSR,"Cafe, Continental",,
INDULGE by InnerChef,Koramangala 7th Block,"Desserts, Bakery",,
Chaska Bun,Koramangala 5th Block,Fast Food,,
Dreams Cafe - All Day English Food St.,Koramangala 1st Block,"Cafe, Continental, Burger",,
Mecaf Family Restaurant,BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",,
Royal Calcutta Restaurant,HSR,"Bengali, North Indian, Chinese",,
Asha Tiffins,HSR,South Indian,,
Mani's Dum Biryani,Koramangala 1st Block,"Biryani, Kebab",,
Pingara,Koramangala 1st Block,"North Indian, Chinese, Mangalorean",,
Calicut Durbar,Koramangala 7th Block,"Arabian, North Indian",,
Lassi Plaza,HSR,"Desserts, Beverages",,
Kor Cafe,Koramangala 1st Block,Kerala,,
HOTEL VKM,BTM,South Indian,,
Samosa Express,BTM,Street Food,,
Lord of Combos,HSR,North Indian,,
Hyderabad Biryaani House,Koramangala 5th Block,"Biryani, North Indian, Chinese, Hyderabadi",,
Gyani Da Punjabi Dhaba,BTM,"North Indian, Chinese",,
North Indian Tadka,Ejipura,"Chinese, North Indian",,
Refills Eatery And Beverages,BTM,"North Indian, South Indian, Chinese",,
King Punjabi Restaurant,BTM,North Indian,,
Oregano Pizzeria,Koramangala 4th Block,"Cafe, Italian, Pizza",,
Ooty Chocolates,Koramangala 4th Block,Desserts,,
Hotel Godavari,BTM,"Andhra, Chinese, North Indian, Biryani",,
Tharavadu,HSR,"Chinese, North Indian, Kerala",,
Onesta,Koramangala 4th Block,"Pizza, Cafe, Italian",,
Havmor,Jayanagar,"Ice Cream, Desserts",,
Afghani Tandoori Hub,BTM,"Arabian, Afghan",,
Noodle Panda,Koramangala 5th Block,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",,
Biryani Palace,HSR,"Biryani, Hyderabadi, Chinese",,
Thottathil Restaurant,BTM,"Kerala, South Indian, Biryani",,
Bhojohori Manna,Koramangala 6th Block,"Bengali, Mughlai",,
Kulfisthan,HSR,Ice Cream,,
Szechuan Dragon,HSR,"Chinese, Thai, Momos",,
UBQ by Barbeque Nation,Koramangala 1st Block,"North Indian, BBQ, Biryani, Kebab",,
Aubree Le Chocolatier,Koramangala 6th Block,Desserts,,
Mealer.in,Koramangala 4th Block,"North Indian, Biryani",,
Juice Junction Food Court,Koramangala 6th Block,"Beverages, Juices, Fast Food",,
New Mangalore Lunch Home,Koramangala 1st Block,"Mangalorean, Chinese, North Indian",,
Crunch Pizzas,HSR,"Italian, Pizza",,
Brownie Points,Koramangala 4th Block,"Bakery, Desserts",,
The Chai Stop,Koramangala 5th Block,"Fast Food, Tea",,
Ustaad Biryani,HSR,Biryani,,
Soup Station,"ITPL Main Road, Whitefield",Continental,,
Lassi Corner,Koramangala 5th Block,"Beverages, Desserts",,
Biryani Mandra,Koramangala 1st Block,"Seafood, Salad, North Indian, Biryani, Chinese",,
Lucknowi Dabba,Koramangala 1st Block,"Mughlai, Chinese, North Indian",,
Melting Melodies,Koramangala 1st Block,"Bakery, Desserts",,
Call A Cake,BTM,Bakery,,
Qube Cafe,Koramangala 4th Block,"Cafe, Desserts",,
Rang De Basanthi,Koramangala 4th Block,"North Indian, South Indian, Chinese",,
The Burger Place,Koramangala 1st Block,"Burger, Continental, Fast Food",,
Little Lucknow,Koramangala 5th Block,"Mughlai, North Indian",,
Odissi Restaurant,BTM,"Oriya, Bengali",,
Dabba Gosht,BTM,"Arabian, Middle Eastern",,
Calvin's,HSR,Desserts,,
GrannyzHut,HSR,"Bengali, North Indian",,
The Beer Cafe,Koramangala 4th Block,"Finger Food, Chinese, Italian, Burger",,
Attic Lounge,Koramangala 4th Block,Cafe,,
Eagles Pizza,Koramangala 7th Block,"Pizza, Italian",,
Shake The Shake,BTM,Juices,,
Bistro Claytopia,Koramangala 1st Block,"Cafe, American, Italian, Burger",,
Healthy Parathawala,BTM,North Indian,,
Delicacy,Koramangala 4th Block,"Chinese, Thai, Momos",,
Flavour of Himalaya,Koramangala 5th Block,Asian,,
Chilld Monk,BTM,"Desserts, Ice Cream",,
Hum Biryani,BTM,"Biryani, North Indian",,
Ganesh Restaurant,Koramangala 5th Block,"Chinese, Street Food",,
Paratha Singh Pakora King,Koramangala 6th Block,"Rajasthani, North Indian, Street Food",,
Eshmeet Da Dhaba,Koramangala 6th Block,"North Indian, Chinese",,
Moolehatti Donne Biryani Mane,HSR,"Biryani, Chinese, North Indian, Kebab",,
Juice Shop,BTM,"Juices, Beverages, Ice Cream",,
Howrah Bridge,HSR,"Bengali, Seafood",,
Ghee Positive,Koramangala 8th Block,"North Indian, Chinese",,
Sarvam,HSR,"South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",,
The Monalisa Restaurant,Koramangala 5th Block,Chinese,,
Basmati's Briyani Nation,HSR,"Biryani, Fast Food",,
Tibetan Mother's Kitchen,Koramangala 7th Block,"Tibetan, Chinese, Momos",,
Pecos Hideout,BTM,Finger Food,,
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,Vietnamese,,
Royal Paris,BTM,"North Indian, Arabian, Chinese",,
What'sinaPita,Koramangala 1st Block,"Mediterranean, Middle Eastern, Wraps, Rolls",,
Tarbouche,Koramangala 5th Block,"Turkish, Rolls",,
Fujian Express,HSR,"Chinese, Thai, American, Momos",,
Desi Flavours,Koramangala 1st Block,"North Indian, Chinese, Biryani",,
Swaadam Veg,BTM,"South Indian, Chinese",,
Mustard Food Court,Koramangala 3rd Block,"North Indian, Chinese",,
Patiala House,Koramangala 7th Block,"North Indian, Rolls, Chinese, Biryani",,
Once Upon A Flame,HSR,"Steak, Continental, Burger, BBQ",,
Skinz Ooty Chocolate,Koramangala 8th Block,Desserts,,
Karahi Kitchen,Koramangala 5th Block,"Andhra, Biryani, Chinese",,
Nagas,HSR,"Andhra, Hyderabadi, North Indian",,
Stoned Monkey,Koramangala 6th Block,"Desserts, Ice Cream",,
Nilu Ki Rasoi,BTM,"North Indian, Chinese",,
New Kabab Zone,Bannerghatta Road,"North Indian, Fast Food",,
Barbeque Delight,Koramangala 5th Block,"Arabian, Kerala, North Indian, Chinese, BBQ",,
Fritz Haber,HSR,"Ice Cream, Desserts",,
Chicken Corner,BTM,"Biryani, North Indian, Fast Food, Chinese",,
Bangaliana,Koramangala 7th Block,Bengali,,
Rolla Rappa,HSR,"Biryani, Fast Food, Rolls, Momos",,
Still Sipping,HSR,"Cafe, Continental, Coffee",,
Tawa Ghar Ka,HSR,North Indian,,
Uday Sweets,Koramangala 5th Block,"Mithai, Fast Food",,
D Fusion,Bommanahalli,"Fast Food, Chinese",,
Mitran Da Junction,Koramangala 6th Block,North Indian,,
B2D Indori Dhaba,BTM,North Indian,,
Freshies Gourmet Salads,HSR,"Salad, Healthy Food",,
Bansuri Sweets,BTM,"Street Food, North Indian",,
Gramin,Koramangala 7th Block,North Indian,,
Tenzin Kitchen,Koramangala 7th Block,"Tibetan, Chinese, Momos",,
Raichur Biryani House,HSR,"Biryani, North Indian, Chinese",,
Laziz Pizza,Koramangala 7th Block,"Fast Food, Burger, Pizza",,
Al Hayath,BTM,"North Indian, Chinese",,
Khaja Point,BTM,"North Indian, Chinese, Biryani",,
Kumarakom,HSR,"Kerala, Seafood, South Indian, North Indian, Chinese",,
DinePost9,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",,
WAFL Co,Koramangala 5th Block,"Desserts, Beverages",,
Oh My Biryani,HSR,"Biryani, North Indian",,
Kinpeetos,Koramangala 5th Block,"Lebanese, Greek",,
Pipabu,Koramangala 4th Block,"Continental, Italian, Chinese",,
Chun Li,Koramangala 6th Block,Chinese,,
Nutri Fit,HSR,Healthy Food,,
Curry Leaves,Jayanagar,"Andhra, North Indian, Chinese",,
Abhiruchi Hotel,Bommanahalli,"North Indian, South Indian, Chinese",,
Olives Restaurant,HSR,"South Indian, Chinese, North Indian",,
Baba Chatkora,Koramangala 6th Block,North Indian,,
The Rasoiya Street,HSR,"North Indian, Continental, Mediterranean, Chinese",,
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,"Cafe, Continental, Pizza, Salad",,
Smise,Koramangala 4th Block,"Cafe, Continental, Italian, Burger, Pizza",,
Eat N Pack,BTM,Kerala,,
Ilyazsab The House Of Chicken,BTM,"Rolls, Kebab",,
Tall Blonde French,Koramangala 5th Block,Fast Food,,
The Paramount Hotel,Koramangala 5th Block,"North Indian, Seafood, Biryani, Kerala",,
The Litti Company,Koramangala 4th Block,Bihari,,
Rafees Biryani,Koramangala 5th Block,"Biryani, North Indian, Desserts",,
Meenu Oota Da Maane,Koramangala 5th Block,"Seafood, Mangalorean, Chinese",,
FNP Cakes N More,Koramangala 5th Block,Bakery,,
Habibi Falafel,Koramangala 1st Block,"Lebanese, Middle Eastern",,
BTM Ghar ka Khana,BTM,North Indian,,
Rolls On Wheels,BTM,"Fast Food, Rolls, Momos",,
Belgian Waffle Factory,Koramangala 5th Block,Desserts,,
Nasi And Mee,Koramangala 4th Block,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",,
NutBerry,HSR,"Beverages, Desserts, Fast Food",,
Darshan Paradise Restaurant,BTM,"North Indian, Chinese",,
Aami Bangali,Koramangala 5th Block,Bengali,,
Dalma,Koramangala 6th Block,Oriya,,
Mid-Night Crunch,HSR,"North Indian, Chinese",,
RotiCurry,HSR,"Street Food, North Indian",,
Make It Roll,HSR,"Rolls, Salad, Sandwich",,
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean",,
Bamey's Restro Cafe,Koramangala 5th Block,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",,
Shaap,Koramangala 5th Block,"Kerala, Seafood",,
Oye Mithai,Koramangala 1st Block,Mithai,,
Potato Bae,Koramangala 5th Block,Fast Food,,
FreshBakes,Koramangala 1st Block,"Bakery, Desserts",,
Meal & Biryani,Bommanahalli,"Andhra, South Indian",,
Fitnest,BTM,"Healthy Food, North Indian",,
Sonar Bangala,Koramangala 5th Block,"Bengali, North Indian",,
Cochin Connection,Koramangala 6th Block,"Kerala, South Indian",,
Krem,Koramangala 5th Block,"Desserts, Ice Cream, Beverages, Sandwich",,
Samaikya,HSR,"Andhra, Seafood, Biryani",,
Zangos Grill,Koramangala 1st Block,"BBQ, Fast Food",,
Friends Chats Adda,BTM,"Fast Food, Sandwich, Beverages",,
Amjad Bhai's Star Hotel - Home Food Only,BTM,"North Indian, South Indian",,
Pasta Street,Koramangala 4th Block,"Italian, Pizza, Salad",,
Helloo Delhi,Koramangala 4th Block,North Indian,,
Sufra Restaurant,HSR,"North Indian, Chinese",,
Mad Over Biryani,JP Nagar,"North Indian, Biryani",,
Chai Street,Koramangala 5th Block,Beverages,,
Bisimillah Biriyani,BTM,"Biryani, Fast Food",,
Feastaurant,HSR,"Bengali, Chinese",,
Cafe Thulp,Koramangala 1st Block,"Cafe, Burger, Italian, Salad",,
Grillopia,BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad",,
The Smoke Co.,Koramangala 6th Block,"American, European",,
Rashtrakutas,HSR,"South Indian, Biryani, North Indian",,
Hunger Hitman,Koramangala,"North Indian, Chinese",,
Snow'ora,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",,
New Friends,BTM,"North Indian, Continental, Chinese, Steak",,
Big Fat Brownie,HSR,"Bakery, Sandwich",,
Sky Juice Corner,Koramangala 5th Block,Juices,,
Lazeez,Koramangala 5th Block,"North Indian, Mughlai, Biryani",,
Aalishan Restaurant & Caterer,Koramangala 7th Block,"North Indian, Mughlai",,
Reddy's Paradise,HSR,Andhra,,
Hotel Food Lands,Koramangala 7th Block,"Seafood, Mangalorean",,
Peace Restaurant,Koramangala 5th Block,"Chinese, Tibetan",,
Black Kitchen,Koramangala 6th Block,"Kerala, South Indian",,
Avon Bar & Kitchen,BTM,"Andhra, Chinese, North Indian",,
China Pearl,Koramangala 6th Block,Chinese,,
Anupam's Coast II Coast,Koramangala 6th Block,"Seafood, Mangalorean, North Indian, Chinese",,
Cheesy Juicy Burgers,HSR,"Burger, Sandwich, Beverages",,
Yum Kitchen,HSR,"North Indian, Chinese",,
Pazzo,HSR,"American, Modern Indian, Italian, South Indian",,
What's In A Name,Koramangala 5th Block,"Finger Food, Asian, European, Italian",,
Dragon's Kitchen,HSR,Chinese,,
Tunday Kababi,Koramangala 5th Block,"North Indian, Kebab",,
Anvar Bhai's,BTM,North Indian,,
Biryani Foodies,Koramangala 5th Block,"Biryani, Mughlai",,
Azimmo Treat,HSR,"North Indian, Chinese",,
Maria's Goan Kitchen,Koramangala 7th Block,"Goan, Chinese, Biryani",,
Dhaba Bytes,HSR,North Indian,,
Noon's,HSR,Biryani,,
ReadyBowl,BTM,"Andhra, South Indian, North Indian, Biryani",,
The Waffle Street,HSR,"Continental, Beverages, Burger, Coffee, Desserts",,
Pizza Cart,HSR,Pizza,,
China Bowl,Koramangala 6th Block,Chinese,,
Grills And Tandoor,Koramangala 5th Block,"North Indian, Chinese",,
Smokey Tribe Restaurant,Koramangala 7th Block,"North Eastern, Chinese",,
MK Dabbawala,Koramangala 4th Block,North Indian,,
Harry's Bar + Cafe,Koramangala 7th Block,"Asian, American, Mexican",,
Hotel Reddy Bhavan,HSR,"Biryani, North Indian, Chinese, Andhra",,
Indus Family Restaurant,BTM,"North Indian, Biryani",,
Tasty Noodle,HSR,"Chinese, Seafood",,
Brooks and Bonds Brewery,Koramangala 5th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",,
Narmadha's Hyderabad Biriyani,BTM,"Biryani, North Indian, Andhra",,
New Shanthi Sagar,BTM,"South Indian, North Indian, Chinese, Street Food",,
The Marash,Koramangala 5th Block,"Turkish, Desserts",,
Gods Own Cafe,Koramangala 7th Block,"South Indian, Kerala, Seafood",,
Tim Tai,Koramangala 5th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",,
Tiwari's Ghee Paratha And Chaats,BTM,"North Indian, Street Food",,
Garage Food Company,HSR,"Chinese, Momos",,
Eat N Drink,BTM,Fast Food,,
Malabar Treat,Koramangala 1st Block,"North Indian, Arabian, South Indian, Chinese",,
Malabar Xpress,Koramangala 5th Block,"South Indian, Kerala",,
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,"Finger Food, North Indian, Chinese",,
The Arabian Nights,BTM,"Arabian, North Indian, Chinese",,
Shift,HSR,"Finger Food, Continental, North Indian",,
Prawn Crunch,BTM,"Fast Food, Seafood",,
Stop N Joy,BTM,"Street Food, Beverages",,
Mini Adiga's,BTM,"South Indian, North Indian, Chinese, Street Food, Juices",,
Kababji Cafe,HSR,"Arabian, Middle Eastern, Rolls, Biryani, Charcoal Chicken",,
Snakk That,HSR,"Burger, Beverages, Fast Food",,
Swathi Maharaja,Koramangala 4th Block,"Andhra, North Indian, Chinese, Biryani",,
Sai Mango Tree,BTM,"Biryani, Hyderabadi, Chinese",,
Via Milano,Koramangala 4th Block,"Salad, Italian, Desserts, Pizza",,
Ambur Dum Biryani,BTM,Biryani,,
Dr. Shawarma,HSR,"North Indian, Rolls, Street Food",,
Mimansa @ Foxtrot,Koramangala 3rd Block,Cafe,,
Biriyaniz,HSR,"Biryani, North Indian, Chinese, Andhra",,
Oldtown Dilli,Koramangala 4th Block,"Mughlai, North Indian, Turkish, Afghan",,
Taj Darbar,Koramangala 5th Block,"Biryani, Mughlai, Chinese",,
Fava Bistro,Koramangala 5th Block,"Mediterranean, Pizza, Italian, Beverages",,
Midnight Restro,BTM,"North Indian, Fast Food",,
Kings Kitchen,Koramangala 1st Block,"Biryani, North Indian",,
New Andhra Spice,BTM,Andhra,,
Amaravati,BTM,"North Indian, Chinese",,
More Than Chocolates,BTM,Bakery,,
Tandoor Hut,Koramangala 5th Block,"North Indian, Mughlai, Chinese, Rolls",,
Om Sai Baba Mess,HSR,South Indian,,
Crunchy Nights,BTM,"North Indian, Chinese, Continental",,
Elmas Restaurant,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",,
The Sandwich Club,HSR,Fast Food,,
Crawl Street,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese",,
Vintage Shack,HSR,"North Indian, Continental",,
Supreme Biryani,Koramangala,Biryani,,
Zingron,Koramangala 7th Block,"Chinese, Naga",,
Magnolia,Koramangala 3rd Block,"Chinese, Thai, Asian",,
The Kitchen,Koramangala 1st Block,North Indian,,
Bharat Kitchen,Koramangala 1st Block,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",,
Tandoori,Koramangala 5th Block,"North Indian, Rolls",,
Kargeens,Koramangala 6th Block,"Cafe, Continental, Italian",,
Tomago Roast,BTM,"Fast Food, Beverages",,
Champaran Spice,BTM,North Indian,,
French Bakery,BTM,"Desserts, Bakery, Beverages",,
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",,
Bengali Fun Foods,BTM,"Bengali, North Indian",,
Goodness! Beverages,Koramangala,Beverages,,
Khan Saab Hotel,Bommanahalli,"North Indian, Biryani, Chinese",,
A.M New Punjab Food Corner,Koramangala 1st Block,"North Indian, Chinese",,
Bisimillah Biriyani's & Kebab's,BTM,"Biryani, Fast Food",,
SS Hot Dhum Briyani Point,BTM,"North Indian, Chinese, South Indian",,
Samosa King,BTM,Street Food,,
The Cheesecake Corner,BTM,Desserts,,
Mid Night Hunting,Ejipura,"Fast Food, Italian",,
Carrots,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts",,
Swad 'E' Punjab,HSR,"North Indian, Chinese, Mughlai",,
Rolls & Co,Koramangala 6th Block,"Burger, Beverages, Rolls",,
Fogg,BTM,"Fast Food, Chinese",,
Sunny Cafe & Kitchen,HSR,"Cafe, Continental, Beverages, Desserts",,
A Today Thick Shakes,Koramangala 5th Block,Beverages,,
Wok And Rolls,Koramangala 1st Block,"Chinese, Thai",,
Asgardian Moreover Chai,BTM,"Fast Food, Rolls, Juices",,
Sober Turtle,Koramangala 4th Block,"Street Food, Sandwich, Beverages",,
Classic Biryani Hut,HSR,"Biryani, Fast Food",,
Khan's Biryani,BTM,"Biryani, North Indian",,
Khaja Military Hotel,HSR,"Biryani, Fast Food, South Indian",,
Abhiruchi Moonlight,Bommanahalli,North Indian,,
Dhaba Express,HSR,"Biryani, Fast Food, North Indian, Chinese",,
TOKI Taco House,Koramangala 6th Block,Mexican,,
Hotel Vedha,BTM,"South Indian, North Indian",,
Multi Kitchen,BTM,"North Indian, Chinese",,
Comboeats,HSR,"Chinese, Continental, Seafood, North Indian",,
Salkara Arabian Delight & Bakes,Koramangala 1st Block,"Arabian, Biryani, Beverages, Rolls",,
Sip N Bite,Bommanahalli,"Fast Food, North Indian, South Indian, Chinese",,
Tiffin Box,BTM,North Indian,,
Candy Cake,BTM,Bakery,,
Whooppeezz,BTM,"Italian, Pizza",,
Hungry Lee,BTM,"Chinese, Thai, Asian",,
South Side Grill,HSR,"Mughlai, North Indian, Andhra",,
Cinnamon,HSR,"North Indian, Chinese, Biryani",,
Kolakata Biryani Cafe,BTM,"Chinese, North Indian, Biryani, Rolls",,
Ammayi Thakkaram,BTM,"Kerala, South Indian",,
Sri Venkateswara Andra Mess,BTM,South Indian,,
Yaduvanshi Hotel,BTM,"Bihari, Chinese",,
Holige Mane,BTM,South Indian,,
The Lassi Bar,BTM,"Beverages, Juices",,
Singh Punjabi Dhaba,BTM,"North Indian, Chinese",,
Pabrai's Fresh and Naturelle Icecreams,BTM,"Ice Cream, Desserts",,
Al-Madina,BTM,"North Indian, Chinese",,
Banjara Melting Pot,Koramangala 4th Block,"North Indian, Chinese, Seafood",,
Homely Curries & Pickles,BTM,"Biryani, Andhra",,
Kopper Kadai,Koramangala 5th Block,"North Indian, Chinese",,
Late Night,BTM,"North Indian, Chinese",,
Punjabi Daawat,BTM,North Indian,,
Borah's Kitchen,BTM,"North Indian, Chinese",,
Momo Jojo,BTM,"Chinese, Tibetan, Momos",,
Kevins Kitchen,Koramangala 6th Block,"North Indian, Chinese, Biryani",,
Yeti,BTM,"Fast Food, Desserts, Ice Cream",,
The Biryani Story,BTM,"Biryani, North Indian, Chinese, Mughlai",,
Tasty Magic,BTM,"Chinese, North Indian",,
Spoorthi Ice Cream,BTM,"Desserts, Ice Cream",,
Maruti Garden,BTM,"North Indian, Kerala",,
Sofiya Cakes,BTM,"Bakery, Desserts",,
Oveanly,BTM,Bakery,,
Coffee Time,BTM,"Sandwich, Juices, Burger",,
Sree Food Paradise,BTM,"North Indian, Biryani",,
Ayush Reddy Tiffins & Fast Food Center,BTM,"South Indian, Fast Food, Chinese",,
RK Fast Food,BTM,"South Indian, Chinese",,
Hungry Mates,BTM,North Indian,,
Paradise Food Court,BTM,"North Indian, Chinese",,
Blends Juice Cafe,BTM,"Beverages, Desserts",,
Foodiction,BTM,"North Indian, Fast Food, Burger",,
Shawarma Corner,BTM,Arabian,,
Royal Dine Family Restaurant,BTM,"Kerala, North Indian, Chinese, Hyderabadi, Arabian",,
Chai Makhan,BTM,"North Indian, Chinese, South Indian",,
Namms Cafe,BTM,"North Indian, Chinese",,
Zed Cafe,BTM,"Kerala, South Indian, Desserts",,
RGS Ambur briyani,BTM,"Biryani, Kebab",,
Delicious Mom's Kitchen,BTM,"Bengali, North Indian",,
Marahaba,Koramangala 6th Block,"Arabian, Mediterranean",,
Invitation Bar & Restaurant,BTM,North Indian,,
Chettinad Food House,BTM,"South Indian, Chettinad, North Indian",,
RP Sweets,BTM,Mithai,,
Kaaka T Cafe,BTM,Fast Food,,
Melt,BTM,"Continental, Steak, Fast Food",,
Food Junction,BTM,"North Indian, Chinese, Street Food, Biryani",,
Chefie,Koramangala 1st Block,"Continental, Fast Food, Italian, North Indian",,
New Grand Restaurant,BTM,"North Indian, South Indian, Biryani",,
Durbar Greens Family Restaurant,Hosur Road,"North Indian, Chinese, South Indian",,
Hyderabadi Biryani Flames,BTM,"Biryani, Andhra",,
Hotel Orchid,BTM,"North Indian, South Indian, Chinese, Kerala",,
Neer Dosa Fish Land,BTM,"Seafood, Mangalorean",,
Shaahi Mezbaan Restaurant,BTM,North Indian,,
